filename,lsh,rsh,rhi,lhi,rse,lse,rha,mha,lha,pfr,mfr,afr
id1_phml_c4_mocap.csv,0,0,0,132,0,18794,232,21721,232,0,0,1115
id2_phml_c2_mocap.csv,0,0,1802,574,0,0,1367,1576,1390,0,0,0
id3_phml_c6_mocap.csv,0,0,397,759,0,0,0,139,0,23,0,5
id4_phml_c1_mocap.csv,0,0,130,0,12,0,0,836,0,0,0,1047
id5_phml_c6_mocap.csv,0,0,556,790,8,1253,0,458,0,0,0,38
id6_phml_c5_mocap.csv,0,0,172,328,0,0,1371,3060,1371,0,0,424
id7_phml_c4_mocap.csv,0,0,0,234,0,0,269,2528,0,0,0,4494
id8_phml_c5_mocap.csv,0,0,1323,7,0,0,0,0,0,0,0,36
id9_phml_c1_mocap.csv,0,0,10561,0,87963,0,65659,88174,88201,0,0,0
id10_phml_c4_mocap.csv,0,6,53632,77221,2884,0,2316,54883,61338,0,0,0
id11_phml_c2_mocap.csv,0,0,6772,2567,37784,0,13242,41021,54680,0,0,0
id12_phml_c6_mocap.csv,0,0,1896,1865,2375,0,518,468,17962,193,432,1781
id13_phml_c1_mocap.csv,0,0,4020,1039,62466,0,65498,69441,72861,0,0,0
id14_phml_c6_mocap.csv,0,0,71646,27,108313,30946,60387,106392,103519,0,0,0
id15_phml_c5_mocap.csv,0,0,0,0,0,0,0,0,0,0,0,0
id16_phml_c4_mocap.csv,10186,10231,17018,40643,0,0,58933,69,23000,0,0,2423
id17_phml_c5_mocap.csv,0,0,69042,0,63940,0,73655,8354,73340,0,0,0
id18_phml_c1_mocap.csv,51417,0,18121,330,96894,43881,64800,57528,1628,51973,51951,59584
id19_phml_c5_mocap.csv,9874,10014,44009,9908,55510,10427,32762,13262,47980,0,0,922
id20_phml_c4_mocap.csv,13950,14048,14528,14375,104210,15517,69390,78637,69390,0,0,64872
id21_phml_c4_mocap.csv,0,0,45158,53731,72169,0,36849,50419,79975,0,0,78085
id22_phml_c2_mocap.csv,1090,1394,2057,1534,64984,15050,69795,70275,71431,0,0,0
id23_phml_c6_mocap.csv,0,0,0,0,0,0,0,0,0,0,0,0
