filename,lsh,rsh,rhi,lhi,rse,lse,rha,mha,lha,pfr,mfr,afr
id1_phml_c4_mocap.csv,0,0,0,132,0,18794,4795,21721,26793,0,0,1115
id2_phml_c2_mocap.csv,0,0,1802,574,0,0,1367,1576,1390,0,0,0
id3_phml_c6_mocap.csv,0,0,397,759,0,0,14,139,19144,23,0,5
id4_phml_c1_mocap.csv,0,0,130,0,12,0,1016,836,0,0,0,1047
id5_phml_c6_mocap.csv,0,0,556,790,8,1253,0,458,7654,0,0,38
id6_phml_c5_mocap.csv,0,0,172,328,0,0,2736,3060,2765,0,0,424
id7_phml_c4_mocap.csv,0,0,0,339,0,0,0,2528,269,0,0,4881
id8_phml_c5_mocap.csv,0,0,1323,7,0,0,0,0,0,0,0,36
id9_phml_c1_mocap.csv,0,0,10561,0,25960,0,67530,67493,41738,0,0,0
id10_phml_c4_mocap.csv,0,6,64913,86340,62034,0,70178,70278,70998,0,0,0
id11_phml_c2_mocap.csv,0,0,4,0,66863,0,1967,98038,100998,0,0,0
id12_phml_c6_mocap.csv,0,0,363,2627,525,0,161,72,26,0,0,0
id13_phml_c1_mocap.csv,0,0,8,19,109,0,65498,69441,72861,0,0,0
id14_phml_c6_mocap.csv,0,0,71646,27,108313,30946,60387,106392,103519,0,0,0
id17_phml_c5_mocap.csv,0,0,1703,0,4098,0,6420,7979,11204,0,0,0
id18_phml_c1_mocap.csv,51417,0,75,330,93749,43881,64800,57528,1628,51973,51951,59584
id19_phml_c5_mocap.csv,9874,10014,10960,9908,17905,10427,32762,13262,47980,0,0,922
id20_phml_c4_mocap.csv,13950,14048,14528,14375,104210,15517,73983,78637,69390,0,0,64872
