ID,Filename,Start,Stop,Note,Times_Double_Checked?,Data_Double_Checked?
11,id11_phml_c2_mocap.csv,16.71,196.71,,,
7,id7_phml_c4_mocap.csv,4.88,184.88,,,
9,id9_phml_c1_mocap.csv,12.23,192.23,I only use test2 for id9,,
10,id10_phml_c4_mocap.csv,12.03,192.03,,,
2,id2_phmh_c4_mocap.csv,42.86,222.86,,,
2,id2_phml_c2_mocap.csv,6.91,186.91,,,
13,id13_phml_c1_mocap.csv,20.76,200.76,,,
13,id13_phmh_c3_mocap.csv,16.91,196.91,,,
20,id20_phml_c4_mocap.csv,15.6,195.6,,,
19,id19_phmh_c1_mocap.csv,39.36,219.36,,,
19,id19_phml_c5_mocap.csv,32.7,212.7,,,
18,id18_phml_c1_mocap.csv,22.11,202.11,,,
17,id17_plmh_c6_mocap.csv,23.31,203.31,,,
17,id17_phml_c5_mocap.csv,21.11,201.11,,,
17,id17_phmh_c3_mocap.csv,18.52,198.52,,,
14,id14_phmh_c4_mocap.csv,14.55,194.55,,,
14,id14_phml_c6_mocap.csv,14.61,194.61,,,
1,id1_phml_c4_mocap.csv,6.75,186.75,,,
1,id1_phmh_c6_mocap.csv,11.97,191.97,,,
3,id3_phmh_c2_mocap.csv,5.22,185.22,,,
3,id3_phml_c6_mocap.csv,9.54,189.54,,,
4,id4_phml_c1_mocap.csv,11.32,191.32,,,
4,id4_phmh_c3_mocap.csv,12.42,192.42,,,
5,id5_phmh_c4_mocap.csv,7.75,187.75,,,
5,id5_phml_c6_mocap.csv,6.29,186.29,,,
6,id6_phmh_c1_mocap.csv,20.72,200.72,,,
6,id6_phml_c5_mocap.csv,11.09,191.09,,,
7,id7_phmh_c2_mocap.csv,5.62,185.62,,,
8,id8_phmh_c3_mocap.csv,21.52,201.52,,,
8,id8_phml_c5_mocap.csv,7.78,187.78,,,
9,id9_phmh_c5_mocap.csv,11.72,191.72,I only use test2 for id9,,
12,id12_phml_c6_mocap.csv,30.53,210.53,
23,id23_phml_c6_mocap.csv,20.01,200.01,,,
22,id22_phml_c2_mocap.csv,19.49,199.49,,,
21,id21_phml_c4_mocap.csv,13.4,193.4,,,
16,id16_phml_c4_mocap.csv,12.61,192.61,,,
15,id15_phml_c5_mocap.csv,13.38,193.38,,,
